(ddp_env) [curso370@login209-18 logs]$ cat gpu_usage_11807744.log
timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2025/04/15 01:14:01.895, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:06.895, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:06.895, 1, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:11.895, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:11.895, 1, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:16.896, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:16.896, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:21.896, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:21.896, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:26.904, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:26.904, 1, NVIDIA A100-PCIE-40GB, 96 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:31.911, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:31.911, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:36.911, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:36.911, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:41.927, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:41.927, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:46.965, 0, NVIDIA A100-PCIE-40GB, 95 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:46.965, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:51.977, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:51.977, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:57.015, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
