[curso370@login210-18 deliverable_1]$ tail -n 100 gpu_usage.log
2025/03/09 23:33:01.661, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:33:11.662, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:33:21.662, NVIDIA A100-PCIE-40GB, 81 %, 52 %, 40960 MiB, 7275 MiB
2025/03/09 23:33:31.663, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:33:41.664, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:33:51.664, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:34:01.665, NVIDIA A100-PCIE-40GB, 83 %, 55 %, 40960 MiB, 7275 MiB
2025/03/09 23:34:11.665, NVIDIA A100-PCIE-40GB, 79 %, 52 %, 40960 MiB, 7275 MiB
2025/03/09 23:34:21.666, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:34:31.667, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:34:41.667, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
